Name,Links
1. Build 15 JavaScript Projects - Vanilla JavaScript Course,https://www.youtube.com/watch?v=3PHXvlpOkf4
2. 10 JavaScript Projects in 10 Hours - Coding Challenge 🔥,https://www.youtube.com/watch?v=dtKciwk_si4
3. 30 Days 30 Projects,https://javascript30.com/
4. Learn JavaScript by Building 7 Games - Full Course,https://www.youtube.com/watch?v=In0nB0ABaUk&feature=youtu.be
5. Build A Calculator With JavaScript Tutorial,https://www.youtube.com/watch?v=j59qQ7YWLxw
6. Build A Clock With JavaScript,https://www.youtube.com/watch?v=Ki0XXrlKlHY
7. JavaScript Form Validation,https://www.youtube.com/watch?v=In0nB0ABaUk
8. JavaScript Project Tutorial: Shopping Cart,https://www.youtube.com/watch?v=q_TZhCWbS3I
9. 20+ Web Projects With Vanilla JavaScript.,https://twitter.com/csaba_kissi/status/1413069754156425217?s=20
