Name,Links
🔷Youtube,
1. Building a Node.js app (as a JavaScript noob) | 🔴 LIVE CODING,https://www.youtube.com/watch?v=wYALykLb5oY
2. Create a Discord Bot With Node.js,https://www.youtube.com/watch?v=BmKXBVdEV0g
3. Build a Zoom Clone with Node JS for Beginners,https://www.youtube.com/watch?v=ZVznzY7EjuY
4. Vanilla Node.js REST API | No Framework,https://www.youtube.com/watch?v=_1xa8Bsho6A
5. The New Notion API | Node.js Video Schedule Project,https://www.youtube.com/watch?v=9JdP-S3crt8
6. Node.js With Passport Authentication | Full Project,https://www.youtube.com/watch?v=6FOq4cUdH8k
7. 8 Node.js Projects To Keep An Eye On 2021,https://www.youtube.com/watch?v=wdlWWn6PrhA
