Name,Tags
1. 20 DevOps Real-time Projects,https://www.youtube.com/playlist?list=PLkWRCY_kK0GgrU0L2nnRtzef8HPVsJp0r
2. Simple DevOps Projects - Part 1 | DevOps Projects for Beginners | DevOps Training | Edureka,https://www.youtube.com/watch?v=PwSZpcl7vUE
3. Simple DevOps Project-1 | Simple DevOps project for CI/CD | CI/CD through Jenkins,https://www.youtube.com/watch?v=Z9G5stlXoyg
