Name,Links
🔷Youtube,
1. Build a Chat App With MongoDB & http://socket.io/ [Part 1],https://www.youtube.com/watch?v=8Y6mWhcdSUM
"2. Full Stack MERN Project - Build and Deploy an App | React + Redux, Node, Express, MongoDB [Part 1/2]",https://www.youtube.com/watch?v=ngc9gnGgUdA
3. MERN Stack Course - ALSO: Convert Backend to Serverless with MongoDB Realm,https://www.youtube.com/watch?v=mrHNSanmqQ4
"4. Build a Whatsapp Clone with MERN Stack (MongoDB, Express, React, Node JS)",https://www.youtube.com/watch?v=gzdQDxzW2Tw
"5. Build a TIK TOK Clone with MERN Stack (MongoDB, Express, React, Node JS)",https://www.youtube.com/watch?v=g8yGxDMyGiE
