Name,Links
🔷Youtube,
1. Build An HTML5 Website With A Responsive Layout,https://www.youtube.com/watch?v=Wm6CUkswsNw
"2. Microsoft Homepage Clone - CSS Grid, Flex & Media Queries",https://www.youtube.com/watch?v=uKgn-To1C4Q
3. Building a pricing block with HTML & PuRe CSS,https://www.youtube.com/watch?v=DGYMErzcflw
4. Create a Website With Video Background | HTML & CSS,https://www.youtube.com/watch?v=8MgpE2DTTKA
,
🔷Twitter Thread,
5. 20+ Web Projects With Vanilla JavaScript,https://twitter.com/csaba_kissi/status/1413069754156425217?s=20
6. 7 GitHub repositories that can help you if you're learning Web Development,https://twitter.com/Prathkum/status/1410516717764218880?s=20
